Metric,Multipath-NADA,Aggregated-NADA,Improvement (%),Scenario
Throughput (Mbps),14.57335981818182,6.435941034375,126.4371245843313,Legacy Broadband - Dynamic RTT Weights
Delay (seconds),0.08354715625,0.088888,6.008509303843028,Legacy Broadband - Dynamic RTT Weights
Loss (%),1.971221875e-05,0.02131439375,99.90751686873571,Legacy Broadband - Dynamic RTT Weights
Jitter (seconds),0.00027361519043063437,0.00014054720423625,-94.67850101856628,Legacy Broadband - Dynamic RTT Weights
Estimated MOS (1-5),4.645747348158929,4.630330618062984,0.33295095680219244,Legacy Broadband - Dynamic RTT Weights
Throughput Stability (stddev),21.453503641997575,7.05413082164368,-204.12681851849612,Legacy Broadband - Dynamic RTT Weights
Path Utilization Ratio (%),14.720565472910929,,,Legacy Broadband - Dynamic RTT Weights
Delivery Efficiency (%),0.0,0.0,,Legacy Broadband - Dynamic RTT Weights
Buffer Length (ms),268.746,258.868,3.815844368558488,Legacy Broadband - Dynamic RTT Weights
Buffer Underruns,9.0,40.0,77.5,Legacy Broadband - Dynamic RTT Weights
Throughput (Mbps),17.811884222222222,6.435941034375,176.75648560307155,Legacy Broadband - Weighted Best Path
Delay (seconds),0.08418479333333333,0.088888,5.2911604116041175,Legacy Broadband - Weighted Best Path
Loss (%),2.1026366666666666e-05,0.02131439375,99.90135132665142,Legacy Broadband - Weighted Best Path
Jitter (seconds),0.00028947891312601,0.00014054720423625,-105.96561468374443,Legacy Broadband - Weighted Best Path
Estimated MOS (1-5),4.6420482624585215,4.630330618062984,0.2530628018186672,Legacy Broadband - Weighted Best Path
Throughput Stability (stddev),22.468928364382677,7.05413082164368,-218.52157172139317,Legacy Broadband - Weighted Best Path
Path Utilization Ratio (%),17.99180224466891,,,Legacy Broadband - Weighted Best Path
Delivery Efficiency (%),0.0,0.0,,Legacy Broadband - Weighted Best Path
Buffer Length (ms),268.746,258.868,3.815844368558488,Legacy Broadband - Weighted Best Path
Buffer Underruns,9.0,40.0,77.5,Legacy Broadband - Weighted Best Path
Throughput (Mbps),16.027514573599998,6.435941034375,149.0314079634268,Legacy Broadband - Round Robin
Delay (seconds),0.08160240625,0.088888,8.196374932499324,Legacy Broadband - Round Robin
Loss (%),1.971221875e-05,0.02131439375,99.90751686873571,Legacy Broadband - Round Robin
Jitter (seconds),3.178638105471625e-05,0.00014054720423625,77.38383966621949,Legacy Broadband - Round Robin
Estimated MOS (1-5),4.6712513537009706,4.630330618062984,0.8837540774810866,Legacy Broadband - Round Robin
Throughput Stability (stddev),22.140194552490744,7.05413082164368,-213.8614113103713,Legacy Broadband - Round Robin
Path Utilization Ratio (%),16.189408660202016,,,Legacy Broadband - Round Robin
Delivery Efficiency (%),0.0,0.0,,Legacy Broadband - Round Robin
Buffer Length (ms),0.0,258.868,-100.0,Legacy Broadband - Round Robin
Buffer Underruns,1.0,40.0,97.5,Legacy Broadband - Round Robin
Throughput (Mbps),16.0275191064,6.435941034375,149.0314783929099,Legacy Broadband - Frame Aware
Delay (seconds),0.08160240625,0.088888,8.196374932499324,Legacy Broadband - Frame Aware
Loss (%),1.971221875e-05,0.02131439375,99.90751686873571,Legacy Broadband - Frame Aware
Jitter (seconds),3.178638105471625e-05,0.00014054720423625,77.38383966621949,Legacy Broadband - Frame Aware
Estimated MOS (1-5),4.6712513537009706,4.630330618062984,0.8837540774810866,Legacy Broadband - Frame Aware
Throughput Stability (stddev),22.14019127241992,7.05413082164368,-213.861364811789,Legacy Broadband - Frame Aware
Path Utilization Ratio (%),16.18941323878788,,,Legacy Broadband - Frame Aware
Delivery Efficiency (%),0.0,0.0,,Legacy Broadband - Frame Aware
Buffer Length (ms),0.0,258.868,-100.0,Legacy Broadband - Frame Aware
Buffer Underruns,1.0,40.0,97.5,Legacy Broadband - Frame Aware
Throughput (Mbps),16.027514573599998,6.435941034375,149.0314079634268,Legacy Broadband - Buffer_Aware
Delay (seconds),0.08160240625,0.088888,8.196374932499324,Legacy Broadband - Buffer_Aware
Loss (%),1.971221875e-05,0.02131439375,99.90751686873571,Legacy Broadband - Buffer_Aware
Jitter (seconds),3.178638105471625e-05,0.00014054720423625,77.38383966621949,Legacy Broadband - Buffer_Aware
Estimated MOS (1-5),4.6712513537009706,4.630330618062984,0.8837540774810866,Legacy Broadband - Buffer_Aware
Throughput Stability (stddev),22.140194552490744,7.05413082164368,-213.8614113103713,Legacy Broadband - Buffer_Aware
Path Utilization Ratio (%),16.189408660202016,,,Legacy Broadband - Buffer_Aware
Delivery Efficiency (%),0.0,0.0,,Legacy Broadband - Buffer_Aware
Buffer Length (ms),0.0,258.868,-100.0,Legacy Broadband - Buffer_Aware
Buffer Underruns,1.0,40.0,97.5,Legacy Broadband - Buffer_Aware
Throughput (Mbps),24.231548636363637,13.0863896125,85.16603397791155,Unbalanced Dual-WAN - Dynamic RTT Weights
Delay (seconds),0.0880458025,0.089690055,1.8332606664139057,Unbalanced Dual-WAN - Dynamic RTT Weights
Loss (%),0.0,0.0,,Unbalanced Dual-WAN - Dynamic RTT Weights
Jitter (seconds),2.036207787710895e-05,5.0566413072975e-05,59.732010558622406,Unbalanced Dual-WAN - Dynamic RTT Weights
Estimated MOS (1-5),4.646331247408812,4.637557291303735,0.1891934816962661,Unbalanced Dual-WAN - Dynamic RTT Weights
Throughput Stability (stddev),39.53084828366708,16.984880420557644,-132.74139884918432,Unbalanced Dual-WAN - Dynamic RTT Weights
Path Utilization Ratio (%),10.769577171717172,,,Unbalanced Dual-WAN - Dynamic RTT Weights
Delivery Efficiency (%),0.0,0.0,,Unbalanced Dual-WAN - Dynamic RTT Weights
Buffer Length (ms),336.125,473.368,-28.99287657805344,Unbalanced Dual-WAN - Dynamic RTT Weights
Buffer Underruns,19.0,14.0,-35.714285714285715,Unbalanced Dual-WAN - Dynamic RTT Weights
Throughput (Mbps),29.61633722222222,13.0863896125,126.31404152855853,Unbalanced Dual-WAN - Weighted Best Path
Delay (seconds),0.09057047631578947,0.089690055,-0.9816264643716299,Unbalanced Dual-WAN - Weighted Best Path
Loss (%),0.0,0.0,,Unbalanced Dual-WAN - Weighted Best Path
Jitter (seconds),2.0898163554851525e-05,5.0566413072975e-05,58.67184899056947,Unbalanced Dual-WAN - Weighted Best Path
Estimated MOS (1-5),4.636197662182637,4.637557291303735,-0.0293177859742621,Unbalanced Dual-WAN - Weighted Best Path
Throughput Stability (stddev),41.838893630370684,16.984880420557644,-146.33022190566024,Unbalanced Dual-WAN - Weighted Best Path
Path Utilization Ratio (%),13.162816543209876,,,Unbalanced Dual-WAN - Weighted Best Path
Delivery Efficiency (%),0.0,0.0,,Unbalanced Dual-WAN - Weighted Best Path
Buffer Length (ms),336.125,473.368,-28.99287657805344,Unbalanced Dual-WAN - Weighted Best Path
Buffer Underruns,19.0,14.0,-35.714285714285715,Unbalanced Dual-WAN - Weighted Best Path
Throughput (Mbps),29.467372540333333,13.0863896125,125.17572388480906,Unbalanced Dual-WAN - Round Robin
Delay (seconds),0.08804351499999999,0.089690055,1.8358111164052868,Unbalanced Dual-WAN - Round Robin
Loss (%),0.0,0.0,,Unbalanced Dual-WAN - Round Robin
Jitter (seconds),1.790399037710805e-05,5.0566413072975e-05,64.59311766632551,Unbalanced Dual-WAN - Round Robin
Estimated MOS (1-5),4.646519727189458,4.637557291303735,0.19325768551751893,Unbalanced Dual-WAN - Round Robin
Throughput Stability (stddev),41.945366488068636,16.984880420557644,-146.95709036196732,Unbalanced Dual-WAN - Round Robin
Path Utilization Ratio (%),13.096610017925926,,,Unbalanced Dual-WAN - Round Robin
Delivery Efficiency (%),0.0,0.0,,Unbalanced Dual-WAN - Round Robin
Buffer Length (ms),0.0,473.368,-100.0,Unbalanced Dual-WAN - Round Robin
Buffer Underruns,1.0,14.0,92.85714285714286,Unbalanced Dual-WAN - Round Robin
Throughput (Mbps),26.52095774,13.0863896125,102.66061553499388,Unbalanced Dual-WAN - Frame Aware
Delay (seconds),0.08804351499999999,0.089690055,1.8358111164052868,Unbalanced Dual-WAN - Frame Aware
Loss (%),0.0,0.0,,Unbalanced Dual-WAN - Frame Aware
Jitter (seconds),1.790399037710805e-05,5.0566413072975e-05,64.59311766632551,Unbalanced Dual-WAN - Frame Aware
Estimated MOS (1-5),4.646519727189458,4.637557291303735,0.19325768551751893,Unbalanced Dual-WAN - Frame Aware
Throughput Stability (stddev),40.762784920486496,16.984880420557644,-139.99453579401876,Unbalanced Dual-WAN - Frame Aware
Path Utilization Ratio (%),11.787092328888889,,,Unbalanced Dual-WAN - Frame Aware
Delivery Efficiency (%),0.0,0.0,,Unbalanced Dual-WAN - Frame Aware
Buffer Length (ms),0.0,473.368,-100.0,Unbalanced Dual-WAN - Frame Aware
Buffer Underruns,1.0,14.0,92.85714285714286,Unbalanced Dual-WAN - Frame Aware
Throughput (Mbps),29.467372540333333,13.0863896125,125.17572388480906,Unbalanced Dual-WAN - Buffer_Aware
Delay (seconds),0.08804351499999999,0.089690055,1.8358111164052868,Unbalanced Dual-WAN - Buffer_Aware
Loss (%),0.0,0.0,,Unbalanced Dual-WAN - Buffer_Aware
Jitter (seconds),1.790399037710805e-05,5.0566413072975e-05,64.59311766632551,Unbalanced Dual-WAN - Buffer_Aware
Estimated MOS (1-5),4.646519727189458,4.637557291303735,0.19325768551751893,Unbalanced Dual-WAN - Buffer_Aware
Throughput Stability (stddev),41.945366488068636,16.984880420557644,-146.95709036196732,Unbalanced Dual-WAN - Buffer_Aware
Path Utilization Ratio (%),13.096610017925926,,,Unbalanced Dual-WAN - Buffer_Aware
Delivery Efficiency (%),0.0,0.0,,Unbalanced Dual-WAN - Buffer_Aware
Buffer Length (ms),0.0,473.368,-100.0,Unbalanced Dual-WAN - Buffer_Aware
Buffer Underruns,1.0,14.0,92.85714285714286,Unbalanced Dual-WAN - Buffer_Aware
Throughput (Mbps),17.31900909090909,9.747748121153846,77.67189791583404,Congested Metro Network - Dynamic RTT Weights
Delay (seconds),0.08923715,0.08958650192307692,0.38996044669417695,Congested Metro Network - Dynamic RTT Weights
Loss (%),0.0,0.0,,Congested Metro Network - Dynamic RTT Weights
Jitter (seconds),1.4265032991481923e-06,8.777445389384615e-06,83.74808118005046,Congested Metro Network - Dynamic RTT Weights
Estimated MOS (1-5),4.642947463503178,4.6410147039268015,0.04164519398616919,Congested Metro Network - Dynamic RTT Weights
Throughput Stability (stddev),22.525101204388452,10.118858404317423,-122.60516260191609,Congested Metro Network - Dynamic RTT Weights
Path Utilization Ratio (%),72.16253787878787,,,Congested Metro Network - Dynamic RTT Weights
Delivery Efficiency (%),0.0,0.0,,Congested Metro Network - Dynamic RTT Weights
Buffer Length (ms),320.453,470.167,-31.842728222099808,Congested Metro Network - Dynamic RTT Weights
Buffer Underruns,10.0,15.0,33.33333333333333,Congested Metro Network - Dynamic RTT Weights
Throughput (Mbps),21.167677777777776,9.747748121153846,117.15454189713046,Congested Metro Network - Weighted Best Path
Delay (seconds),0.08960549999999999,0.08958650192307692,-0.02120640555804259,Congested Metro Network - Weighted Best Path
Loss (%),0.0,0.0,,Congested Metro Network - Weighted Best Path
Jitter (seconds),1.43967243111412e-06,8.777445389384615e-06,83.59804741302919,Congested Metro Network - Weighted Best Path
Estimated MOS (1-5),4.641473146410953,4.6410147039268015,0.009878065754967745,Congested Metro Network - Weighted Best Path
Throughput Stability (stddev),23.209416156578815,10.118858404317423,-129.3679309384943,Congested Metro Network - Weighted Best Path
Path Utilization Ratio (%),88.1986574074074,,,Congested Metro Network - Weighted Best Path
Delivery Efficiency (%),0.0,0.0,,Congested Metro Network - Weighted Best Path
Buffer Length (ms),320.453,470.167,-31.842728222099808,Congested Metro Network - Weighted Best Path
Buffer Underruns,10.0,15.0,33.33333333333333,Congested Metro Network - Weighted Best Path
Throughput (Mbps),17.227387636363634,9.747748121153846,76.73197360299068,Congested Metro Network - Round Robin
Delay (seconds),0.08923706346153847,0.08958650192307692,0.39005704435083055,Congested Metro Network - Round Robin
Loss (%),0.0,0.0,,Congested Metro Network - Round Robin
Jitter (seconds),1.3076615683789616e-06,8.777445389384615e-06,85.10202558525242,Congested Metro Network - Round Robin
Estimated MOS (1-5),4.642956468578645,4.6410147039268015,0.04183922645624562,Congested Metro Network - Round Robin
Throughput Stability (stddev),22.594548109636214,10.118858404317423,-123.29147426349772,Congested Metro Network - Round Robin
Path Utilization Ratio (%),71.78078181818181,,,Congested Metro Network - Round Robin
Delivery Efficiency (%),0.0,0.0,,Congested Metro Network - Round Robin
Buffer Length (ms),0.0,470.167,-100.0,Congested Metro Network - Round Robin
Buffer Underruns,1.0,15.0,93.33333333333333,Congested Metro Network - Round Robin
Throughput (Mbps),17.227387636363634,9.747748121153846,76.73197360299068,Congested Metro Network - Frame Aware
Delay (seconds),0.08923706346153847,0.08958650192307692,0.39005704435083055,Congested Metro Network - Frame Aware
Loss (%),0.0,0.0,,Congested Metro Network - Frame Aware
Jitter (seconds),1.3076615683789616e-06,8.777445389384615e-06,85.10202558525242,Congested Metro Network - Frame Aware
Estimated MOS (1-5),4.642956468578645,4.6410147039268015,0.04183922645624562,Congested Metro Network - Frame Aware
Throughput Stability (stddev),22.594548110009324,10.118858404317423,-123.29147426718498,Congested Metro Network - Frame Aware
Path Utilization Ratio (%),71.78078181818181,,,Congested Metro Network - Frame Aware
Delivery Efficiency (%),0.0,0.0,,Congested Metro Network - Frame Aware
Buffer Length (ms),0.0,470.167,-100.0,Congested Metro Network - Frame Aware
Buffer Underruns,1.0,15.0,93.33333333333333,Congested Metro Network - Frame Aware
Throughput (Mbps),17.227387636363634,9.747748121153846,76.73197360299068,Congested Metro Network - Buffer_Aware
Delay (seconds),0.08923706346153847,0.08958650192307692,0.39005704435083055,Congested Metro Network - Buffer_Aware
Loss (%),0.0,0.0,,Congested Metro Network - Buffer_Aware
Jitter (seconds),1.3076615683789616e-06,8.777445389384615e-06,85.10202558525242,Congested Metro Network - Buffer_Aware
Estimated MOS (1-5),4.642956468578645,4.6410147039268015,0.04183922645624562,Congested Metro Network - Buffer_Aware
Throughput Stability (stddev),22.594548110009324,10.118858404317423,-123.29147426718498,Congested Metro Network - Buffer_Aware
Path Utilization Ratio (%),71.78078181818181,,,Congested Metro Network - Buffer_Aware
Delivery Efficiency (%),0.0,0.0,,Congested Metro Network - Buffer_Aware
Buffer Length (ms),0.0,470.167,-100.0,Congested Metro Network - Buffer_Aware
Buffer Underruns,1.0,15.0,93.33333333333333,Congested Metro Network - Buffer_Aware
Throughput (Mbps),39.53866457272727,20.285445693181817,94.91149058665589,Balanced Gigabit - Dynamic RTT Weights
Delay (seconds),0.03964261818181818,0.039945240909090914,0.7575939470773309,Balanced Gigabit - Dynamic RTT Weights
Loss (%),0.0,0.0,,Balanced Gigabit - Dynamic RTT Weights
Jitter (seconds),2.2474954673302046e-06,7.256591862272727e-06,69.02822275268076,Balanced Gigabit - Dynamic RTT Weights
Estimated MOS (1-5),4.841256855363715,4.839661698319464,0.032960093983538157,Balanced Gigabit - Dynamic RTT Weights
Throughput Stability (stddev),51.314372811543194,21.350642322576004,-140.34111965467088,Balanced Gigabit - Dynamic RTT Weights
Path Utilization Ratio (%),3.6609874604377106,,,Balanced Gigabit - Dynamic RTT Weights
Delivery Efficiency (%),0.0,0.0,,Balanced Gigabit - Dynamic RTT Weights
Buffer Length (ms),343.355,472.54,-27.338426376603035,Balanced Gigabit - Dynamic RTT Weights
Buffer Underruns,9.0,14.0,35.714285714285715,Balanced Gigabit - Dynamic RTT Weights
Throughput (Mbps),48.32503477777778,20.285445693181817,138.22515664036118,Balanced Gigabit - Weighted Best Path
Delay (seconds),0.03981492380952381,0.039945240909090914,0.3262393631914341,Balanced Gigabit - Weighted Best Path
Loss (%),0.0,0.0,,Balanced Gigabit - Weighted Best Path
Jitter (seconds),2.261893822917357e-06,7.256591862272727e-06,68.82980515030724,Balanced Gigabit - Weighted Best Path
Estimated MOS (1-5),4.84056655782649,4.839661698319464,0.018696751207630813,Balanced Gigabit - Weighted Best Path
Throughput Stability (stddev),52.85617601925731,21.350642322576004,-147.56246308977597,Balanced Gigabit - Weighted Best Path
Path Utilization Ratio (%),4.474540257201647,,,Balanced Gigabit - Weighted Best Path
Delivery Efficiency (%),0.0,0.0,,Balanced Gigabit - Weighted Best Path
Buffer Length (ms),343.355,472.54,-27.338426376603035,Balanced Gigabit - Weighted Best Path
Buffer Underruns,9.0,14.0,35.714285714285715,Balanced Gigabit - Weighted Best Path
Throughput (Mbps),48.075459570666666,20.285445693181817,136.99484003363756,Balanced Gigabit - Round Robin
Delay (seconds),0.03964242954545454,0.039945240909090914,0.7580661844686882,Balanced Gigabit - Round Robin
Loss (%),0.0,0.0,,Balanced Gigabit - Round Robin
Jitter (seconds),1.8597727400573636e-06,7.256591862272727e-06,74.37126442612286,Balanced Gigabit - Round Robin
Estimated MOS (1-5),4.841287398071763,4.839661698319464,0.033591185781912176,Balanced Gigabit - Round Robin
Throughput Stability (stddev),53.08209949024996,21.350642322576004,-148.6206208143975,Balanced Gigabit - Round Robin
Path Utilization Ratio (%),4.451431441728395,,,Balanced Gigabit - Round Robin
Delivery Efficiency (%),0.0,0.0,,Balanced Gigabit - Round Robin
